name	signature
Immune	PTPRC
Lymphoid	LCK
Myeloid	SPI1
APC	HLA-DRA;HLA-DMB;HLA-DMA;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DPA1;HLA-DPB1
Tcell	CD3D;CD3E;CD3G;CD2
Macrophage	CD40;CD68;CD14;FCGR1A
TAM	APOE;APOC1;TREM2;SPP1
MoMacDC	LYZ;CSF1R;MSR1;MAFB;CD300E;ITGAX;CD14
Endothelial	CDH5;ERG;CLDN5;VWF;HSPG2;COL4A2;COL4A1
Stromal	MMP2;COL6A2;COL1A1;COL1A2;COL5A1;SPARC;LUM
Epithelial	EPCAM;CLDN7
Bcell	MS4A1;BANK1;PAX5;CD19
Plasma_cell	IGKC;IGHG3;IGHG1;IGHA1;CD19-
PanBcell	CD79A
NK	KLRD1;NKG7;NCR1;FCGR3A;CD3D-;CD3E-;CD3G-;CD8A-;CD8B-
Neutrophils	CSF3R;FCGR3B;ANXA2-
CD4T	CD4;CD40LG
Treg	FOXP3
CD8T	CD8A;CD8B
Tgammadelta	TRDC;TRGC1;TRGC2;TRDV1
Talphabeta	TRAC;TRBC1;TRBC2
Erythrocyte	HBB;HBA2;HBA1
Megakaryocyte	ITGA2B;PF4;PPBP
pDC	IRF7;LILRA4;TCF4;GZMB
cDC1	CLEC9A;XCR1;BATF3;CADM1;IDO1;RAB7B;FLT3;IRF8
cDC2	CLEC10A;CD1A;CD1C;S100B
DC3	LAMP3;FSCN1;CCL19;CCL22;CD274;CCR7;BIRC3
Monocyte	S100A9;S100A8;FCN1;VCAN
Monocyte_not_cDC2	S100A9;S100A8;FCN1;VCAN;CLEC10A-;CD1A-;CD1C-;S100B-
Mast	KIT;CPA3;GATA2
